rdfs:label	skos:prefLabel	skos:definition	skos:note	skos:example	class_uri	rdf:type	term_iri
verbatimSRS	Verbatim SRS	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in dwc:verbatimLatitude and dwc:verbatimLongitude, or dwc:verbatimCoordinates are based.	Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`unknown`; `EPSG:4326`; `WGS84`; `NAD27`; `Campo Inchauspe`; `European 1950`; `Clarke 1866`	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/verbatimSRS
footprintWKT	Footprint WKT	A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the dcterms:Location. A dcterms:Location may have both a point-radius representation (see dwc:decimalLatitude) and a footprint representation, and they may differ from each other.	This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (the one-degree bounding box with opposite corners at longitude=10, latitude=20 and longitude=11, latitude=21)	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/footprintWKT
footprintSRS	Footprint SRS	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geometry given in dwc:footprintWKT is based.	Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`. It is also permitted to provide the SRS in Well-Known-Text, especially if no EPSG code provides the necessary values for the attributes of the SRS. Do not use this term to describe the SRS of the dwc:decimalLatitude and dwc:decimalLongitude, nor of any verbatim coordinates - use the dwc:geodeticDatum and dwc:verbatimSRS instead. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	"`epsg:4326`; `GEOGCS[""GCS_WGS_1984"", DATUM[""D_WGS_1984"", SPHEROID[""WGS_1984"",6378137,298.257223563]], PRIMEM[""Greenwich"",0], UNIT[""Degree"",0.0174532925199433]]` (WKT for the standard WGS84 Spatial Reference System EPSG:4326)"	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/footprintSRS
footprintSpatialFit	Footprint Spatial Fit	The ratio of the area of the dwc:footprintWKT to the area of the true (original, or most specific) spatial representation of the dcterms:Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given dwc:footprintWKT does not completely contain the original representation. The dwc:footprintSpatialFit is undefined (and should be left empty) if the original representation is any geometry without area (e.g., a point or polyline) and without uncertainty and the given georeference is not that same geometry (without uncertainty). If both the original and the given georeference are the same point, the dwc:footprintSpatialFit is 1.	Detailed explanations with graphical examples can be found in the Georeferencing Best Practices, Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).	`0`; `1`; `1.5708`	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/footprintSpatialFit
georeferencedBy	Georeferenced By	A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the dcterms:Location.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`Brad Millen (ROM)`; `Kristina Yamamoto | Janet Fang`	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/georeferencedBy
georeferencedDate	Georeferenced Date	The date on which the dcterms:Location was georeferenced.	Recommended best practice is to use a date that conforms to ISO 8601-1:2019.	`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007)	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/georeferencedDate
georeferenceProtocol	Georeference Protocol	A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.	This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)`	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/georeferenceProtocol
georeferenceSources	Georeference Sources	A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the dcterms:Location, described specifically enough to allow anyone in the future to use the same resources.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`https://www.geonames.org/`; `USGS 1:24000 Florence Montana Quad 1967 | Terrametrics 2008 on Google Earth`; `GeoLocate`	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/georeferenceSources
georeferenceRemarks	Georeference Remarks	Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in dwc:georeferenceProtocol.		`Assumed distance by road (Hwy. 101)`	http://purl.org/dc/terms/Location	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/georeferenceRemarks
GeologicalContext	Geological Context	Geological information, such as stratigraphy, that qualifies a region or place.		`a lithostratigraphic layer`		http://www.w3.org/2000/01/rdf-schema#Class	http://rs.tdwg.org/dwc/terms/GeologicalContext
geologicalContextID	Geological Context ID	An identifier for the set of information associated with a dwc:GeologicalContext (the location within a geological context, such as stratigraphy). May be a global unique identifier or an identifier specific to the data set.		`https://opencontext.org/subjects/e54377f7-4452-4315-b676-40679b10c4d9`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/geologicalContextID
earliestEonOrLowestEonothem	Earliest Eon Or Lowest Eonothem	"The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (""Precambrian"") attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected."		`Phanerozoic`; `Proterozoic`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem
latestEonOrHighestEonothem	Llatest Eon Or Highest Eonothem	"The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (""Precambrian"") attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected."		`Phanerozoic`; `Proterozoic`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem
earliestEraOrLowestErathem	Earliest Era Or Lowest Erathem	The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Cenozoic`; `Mesozoic`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem
latestEraOrHighestErathem	Latest Era Or Highest Erathem	The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Cenozoic`; `Mesozoic`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem
earliestPeriodOrLowestSystem	Earliest Period Or Lowest System	The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Neogene`; `Tertiary`; `Quaternary`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem
latestPeriodOrHighestSystem	Latest Period Or Highest System	The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Neogene`; `Tertiary`; `Quaternary`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem
earliestEpochOrLowestSeries	Earliest Epoch Or Lowest Series	The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Holocene`; `Pleistocene`; `Ibexian Series`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries
latestEpochOrHighestSeries	Latest Epoch Or Highest Series	The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Holocene`; `Pleistocene`; `Ibexian Series`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries
earliestAgeOrLowestStage	Earliest Age Or Lowest Stage	The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Atlantic`; `Boreal`; `Skullrockian`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage
latestAgeOrHighestStage	Latest Age Or Highest Stage	The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Atlantic`; `Boreal`; `Skullrockian`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage
lowestBiostratigraphicZone	Lowest Biostratigraphic Zone	The full name of the lowest possible geological biostratigraphic zone of the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Maastrichtian`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone
highestBiostratigraphicZone	Highest Biostratigraphic Zone	The full name of the highest possible geological biostratigraphic zone of the stratigraphic horizon from which the dwc:MaterialEntity was collected.		`Blancan`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone
lithostratigraphicTerms	Lithostratigraphic Terms	The combination of all litho-stratigraphic names for the rock from which the dwc:MaterialEntity was collected.		`Pleistocene-Weichselien`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms
group	Group	The full name of the lithostratigraphic group from which the dwc:MaterialEntity was collected.		`Bathurst`; `Lower Wealden`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/group
formation	Formation	The full name of the lithostratigraphic formation from which the dwc:MaterialEntity was collected.		`Notch Peak Formation`; `House Limestone`; `Fillmore Formation`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/formation
member	Member	The full name of the lithostratigraphic member from which the dwc:MaterialEntity was collected.		`Lava Dam Member`; `Hellnmaria Member`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/member
bed	Bed	The full name of the lithostratigraphic bed from which the dwc:MaterialEntity was collected.		`Harlem coal`	http://rs.tdwg.org/dwc/terms/GeologicalContext	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/bed
Identification	Identification	A taxonomic determination (e.g., the assignment to a dwc:Taxon).		`a subspecies determination of an organism`		http://www.w3.org/2000/01/rdf-schema#Class	http://rs.tdwg.org/dwc/terms/Identification
identificationID	Identification ID	An identifier for the dwc:Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.		`9992`	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/identificationID
verbatimIdentification	Verbatim Identification	A string representing the taxonomic identification as it appeared in the original record.	This term is meant to allow the capture of an unaltered original identification/determination, including identification qualifiers, hybrid formulas, uncertainties, etc. This term is meant to be used in addition to dwc:scientificName (and dwc:identificationQualifier etc.), not instead of it.	`Peromyscus sp.`; `Ministrymon sp. nov. 1`; `Anser anser Ã— Branta canadensis`; `Pachyporidae?`; `Potentilla Ã— pantotricha SojÃ¡k`; `Aconitum pilipes Ã— A. variegatum`; `Lepomis auritus x cyanellus`	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/verbatimIdentification
identificationQualifier	Identification Qualifier	"A brief phrase or a standard term (""cf."", ""aff."") to express the determiner's doubts about the dwc:Identification."	This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`aff. agrifolia var. oxyadenia` (for `Quercus aff. agrifolia var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia` in specificEpithet, `oxyadenia` in infraspecificEpithet, and `var.` in taxonRank); `cf. var. oxyadenia` (for `Quercus agrifolia cf. var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia` in specificEpithet, `oxyadenia` in infraspecificEpithet, and `var.` in taxonRank)	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/identificationQualifier
typeStatus	Type Status	A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388`; `holotype of Pinus abies | holotype of Picea abies`	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/typeStatus
identifiedBy	Identified By	A list (concatenated and separated) of names of people, groups, or organizations who assigned the dwc:Taxon to the subject.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`James L. Patton`; `Theodore Pappenfuss | Robert Macey`	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/identifiedBy
identifiedByID	Identified By ID	A list (concatenated and separated) of the globally unique identifier for the person, people, groups, or organizations responsible for assigning the dwc:Taxon to the subject.	Recommended best practice is to provide a single identifier that disambiguates the details of the identifying agent. If a list is used, the order of the identifiers on the list should not be assumed to convey any semantics. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).	`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people)	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/identifiedByID
dateIdentified	Date Identified	The date on which the subject was determined as representing the dwc:Taxon.	Recommended best practice is to use a date that conforms to ISO 8601-1:2019.	`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007)	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/dateIdentified
identificationReferences	Identification References	A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the dwc:Identification.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `).	`Aves del Noroeste Patagonico. Christie et al. 2004.`; `Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata). Herpetologica, 53(1), 30-49.`	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/identificationReferences
identificationVerificationStatus	Identification Verification Status	A categorical indicator of the extent to which the taxonomic identification has been verified to be correct.	Recommended best practice is to use a controlled vocabulary such as that used in HISPID and ABCD. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	"`0` (""unverified"" in HISPID/ABCD)."	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/identificationVerificationStatus
identificationRemarks	Identification Remarks	Comments or notes about the dwc:Identification.		`Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uÃ±as.`	http://rs.tdwg.org/dwc/terms/Identification	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/identificationRemarks
Taxon	Taxon	A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.		`the genus Truncorotaloides as published by BrÃ¶nnimann et al. in 1953 in the Journal of Paleontology Vol. 27(6) p. 817-820`		http://www.w3.org/2000/01/rdf-schema#Class	http://rs.tdwg.org/dwc/terms/Taxon
taxonID	Taxon ID	An identifier for the set of dwc:Taxon information. May be a global unique identifier or an identifier specific to the data set.		`8fa58e08-08de-4ac1-b69c-1235340b7001`; `32567`; `https://www.gbif.org/species/212`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/taxonID
scientificNameID	Scientific Name ID	An identifier for the nomenclatural (not taxonomic) details of a scientific name.		`urn:lsid:ipni.org:names:37829-1:1.3`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/scientificNameID
acceptedNameUsageID	Accepted Name Usage ID	An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.	This term should be used for synonyms or misapplied names to refer to the dwc:taxonID of a dwc:Taxon record that represents the accepted (botanical) or valid (zoological) name. For Darwin Core Archives the related record should be present locally in the same archive.	`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/acceptedNameUsageID
parentNameUsageID	Parent Name Usage ID	An identifier for the name usage (documented meaning of the name according to a source) of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the dwc:scientificName.	This term should be used for accepted names to refer to the dwc:taxonID of a dwc:Taxon record that represents the next higher taxon rank in the same taxonomic classification. For Darwin Core Archives the related record should be present locally in the same archive.	`tsn:41074` (ITIS); `urn:lsid:ipni.org:names:30001404-2` (IPNI); `2704173` (GBIF); `6T8N` (COL)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/parentNameUsageID
originalNameUsageID	Original Name Usage ID	An identifier for the name usage (documented meaning of the name according to a source) in which the terminal element of the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode.	This term should be used to refer to the dwc:taxonID of a dwc:Taxon record that represents the usage of the terminal element of the dwc:scientificName as originally established under the rules of the associated dwc:nomenclaturalCode. For example, for names governed by the ICNafp, this term would establish the relationship between a record representing a subsequent combination and the record for its corresponding basionym. Unlike basionyms, however, this term can apply to scientific names at all ranks. For Darwin Core Archives the related record should be present locally in the same archive.	`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/originalNameUsageID
nameAccordingToID	Name According To ID	An identifier for the source in which the specific taxon concept circumscription is defined or implied. See dwc:nameAccordingTo.		`https://doi.org/10.1016/S0269-915X(97)80026-2`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/nameAccordingToID
namePublishedInID	Name Published In ID	An identifier for the publication in which the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode.	A citation of the first publication of the name in its given combination, not the basionym / original name. Recombinations are often not published in zoology, in which case dwc:namePublishedInID should be empty.		http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/namePublishedInID
taxonConceptID	Taxon Concept ID	An identifier for the taxonomic concept to which the record refers - not for the nomenclatural details of a dwc:Taxon.		`8fa58e08-08de-4ac1-b69c-1235340b7001`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/taxonConceptID
scientificName	Scientific Name	The full scientific name, with authorship and date information if known. When forming part of a dwc:Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the dwc:identificationQualifier term.	This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term. When applied to an Organism or Occurrence, this term should be used to represent the scientific name that was applied to the associated Organism in accordance with the Taxon to which it was or is currently identified. Names should be compliant to the most recent nomenclatural code. For example, names of hybrids for algae, fungi and plants should follow the rules of the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles H.1, H.2 and H.3). Thus, use the multiplication sign `Ã—` (Unicode `U+00D7`, HTML `&times;`) to identify a hybrid, not `x` or `X`, if possible.	`Coleoptera` (order); `Vespertilionidae` (family); `Manis` (genus); `Ctenomys sociabilis` (genus + specificEpithet); `Ambystoma tigrinum diaboli` (genus + specificEpithet + infraspecificEpithet); `Roptrocerus typographi (GyÃ¶rfi, 1952)` (genus + specificEpithet + scientificNameAuthorship); `Quercus agrifolia var. oxyadenia (Torr.) J.T. Howell` (genus + specificEpithet + taxonRank + infraspecificEpithet + scientificNameAuthorship); `Ã—Agropogon littoralis (Sm.) C. E. Hubb.`; `Mentha Ã—smithiana R. A. Graham`; `Agrostis stolonifera L. Ã— Polypogon monspeliensis (L.) Desf.`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/scientificName
acceptedNameUsage	Accepted Name Usage	The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) dwc:Taxon.	The full scientific name, with authorship and date information if known, of the accepted (botanical) or valid (zoological) name in cases where the provided dwc:scientificName is considered by the reference indicated in the dwc:accordingTo property, or of the content provider, to be a synonym or misapplied name. When applied to a dwc:Organism or dwc:Occurrence, this term should be used in cases where a content provider regards the provided dwc:scientificName to be inconsistent with the taxonomic perspective of the content provider. For example, there are many discrepancies within specimen collections and observation datasets between the recorded name (e.g., the most recent identification from an expert who examined a specimen, or a field identification for an observed dwc:Organism), and the name asserted by the content provider to be taxonomically accepted.	`Tamias minimus` (valid name for `Eutamias minimus`)	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/acceptedNameUsage
parentNameUsage	Parent Name Usage	The full name, with authorship and date information if known, of the direct, most proximate higher-rank parent dwc:Taxon (in a classification) of the most specific element of the dwc:scientificName.		`Rubiaceae`; `Gruiformes`; `Testudinae`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/parentNameUsage
originalNameUsage	Original Name Usage	The taxon name, with authorship and date information if known, as it originally appeared when first established under the rules of the associated dwc:nomenclaturalCode. The basionym (botany) or basonym (bacteriology) of the dwc:scientificName or the senior/earlier homonym for replaced names.	The full scientific name, with authorship and date information if known, of the name usage in which the terminal element of the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode. For example, for names governed by the ICNafp, this term would indicate the basionym of a record representing a subsequent combination. Unlike basionyms, however, this term can apply to scientific names at all ranks.	`Pinus abies`; `Gasterosteus saltatrix Linnaeus 1768`	http://rs.tdwg.org/dwc/terms/Taxon	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/originalNameUsage
