csvw:table,dcterms:title,csvw:column,skos:description,csvw:datatype,csvw:format,skos:note,skos:example,vann:preferredNamespacePrefix,iri,csvw:required,dsd:isUnique,csvw:minLength
media-assertion,MediaAssertion,assertionEffectiveDate,The date on which the state or measurement of an Assertion was deemed to first be in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,
media-assertion,MediaAssertion,assertionValue,"An asserted value, if it is not numeric.",string,default,,`UV-light`,gum,,,,
media-assertion,MediaAssertion,assertionValueIRI,The IRI of the controlled vocabulary value for the value of an Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,`https://vocab.nerc.ac.uk/collection/S10/current/S103/`,gum,,,,
media-assertion,MediaAssertion,assertionValueVocabulary,The reference to the controlled vocabulary in which the definition of the value in assertionValue is given.,string,default,,`https://vocab.nerc.ac.uk/collection/S10/current/`,gum,,,,
media-assertion,MediaAssertion,assertionValueNumeric,"An asserted value, if it is numeric.",number,default,,`0`; `1`; `14.5`,gum,,,,
media-assertion,MediaAssertion,assertionUnit,The units associated with the value in assertionValueNumeric.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI. For units that are composed of multiple parts, use the patterns as given in ""A Primer for Communicating Mathematics via Plain Text"" (https://cse.sc.edu/~fenner/latex-ASCII.pdf) by Stephen Fenner (e.g., `g/cm^3` for grams per cubic centimeter). For other units, provide the value as a recognizable standard (e.g., '%') or written out in full and in the plural (e.g., `individuals`). It is fine to provide non-SI units in the original language of the dataset.",`m`; `g`; `l`; `s`; `°C`; `mm`; `km²`; `%`; `hh:mm:ss`,gum,http://rs.tdwg.org/dwc/terms/measurementUnit,,,
media-assertion,MediaAssertion,assertionUnitIRI,The IRI for the units of an assertionValueNumeric.,string,default,,,gum,,,,
media-assertion,MediaAssertion,assertionUnitVocabulary,The reference to the controlled vocabulary in which the definition of the value in assertionUnit is given.,string,default,,,gum,,,,
media-assertion,MediaAssertion,assertionBy,"A list (concatenated and separated) of names of people, groups, or organizations who made an Assertion.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,,,
media-assertion,MediaAssertion,assertionByID,An identifier for an Agent who made an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),gum,,,,
media-assertion,MediaAssertion,assertionProtocol,"The names of, references to, or descriptions of the methods or protocols used in making an Assertion.",string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementMethod,,,
media-assertion,MediaAssertion,assertionProtocolID,An identifier for a Protocol used to make an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/iri/measurementMethod,,,
media-assertion,MediaAssertion,assertionCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with an Assertion.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,,,
media-assertion,MediaAssertion,assertionRemarks,Comments or notes about an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementRemarks,,,
media-identifier,MediaIdentifier,identifier,An unambiguous reference to a resource within a given context.,string,default,Recommended best practice is to identify a resource by means of a string conforming to a formal identification system.,,dcterms,http://purl.org/dc/terms/identifier,True,False,
media-identifier,MediaIdentifier,mediaID,An identifier for a Media instance.,string,default,,,gum,,True,False,
media-identifier,MediaIdentifier,identifierType,The category or system that best matches the nature of an Identifier.,string,default,,,gum,,,,
media-identifier,MediaIdentifier,identifierTypeIRI,The IRI of the controlled vocabulary value for the type of Identifier.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
media-identifier,MediaIdentifier,identifierTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in identifierType is given.,string,default,,,gum,,,,
media-identifier,MediaIdentifier,identifierLanguage,A language in which an Identifier is presented.,string,default,Recommended best prectice is to use an ISO639-2 three-letter language code.,`eng` (for Modern English); `spa` (for Castilian Standard Spanish),gum,,,,
media,Media,mediaID,An identifier for a Media instance.,string,default,,,gum,,True,True,
media,Media,mediaType,The category that best matches the nature of an instance of Media.,string,default,,`Sound`; `Still Image`; `Moving Image`; `Text`,gum,,,,
media,Media,mediaTypeIRI,The IRI of the controlled vocabulary value for the type of Media.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
media,Media,mediaTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in mediaType is given.,string,default,,,gum,,,,
media,Media,accessURI,A URI that uniquely identifies a service that provides a representation of the underlying resource.,string,default,"If this resource can be acquired by an http request, its http URL SHOULD be given. If not, but it has some URI in another URI scheme, that MAY be given here. Value might point to something offline, such as a published CD, etc. For example, the doi of a published CD would be a suitable value.",,ac,http://rs.tdwg.org/ac/terms/accessURI,,,
media,Media,WebStatement,A Web URL for a statement of the ownership and usage rights for this resource.,string,default,,,xmpRights,http://ns.adobe.com/xap/1.0/rights/WebStatement,,,
media,Media,format,"The file format, physical medium, or dimensions of the resource.",string,default,"A controlled value string describing the technical format of the resource (file format or physical medium). The string SHOULD be a controlled value from the Audiovisual Core Controlled Vocabulary for Dublin Core format, although it MAY be any Media Type (MIME type) value from the IANA list of Media Types (https://www.iana.org/assignments/media-types/media-types.xhtml) or any commonly used file extension string. Human-readable information about the Controlled Vocabulary for format is at http://rs.tdwg.org/ac/doc/format/ . This term can be used to describe offline digital content. In cases where the provided Service Access Point URL includes a standard file extension from which the format can be inferred, it is permissible to not provide a value for this property. See also the entry for dcterms:format in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. It is best practice to use dcterms:format instead of dc:format whenever practical. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.",,dc,http://purl.org/dc/elements/1.1/format,,,
media,Media,rights,Information about rights held in and over the resource.,string,default,"A full-text, readable copyright statement, as required by the national legislation of the copyright holder. On collections, this applies to all contained objects, unless the object itself has a different statement. Do not place just the name of the copyright holder(s) here! That belongs in a list in the xmpRights:Owner field, which SHOULD be supplied if dc:rights is not 'Public Domain', which is appropriate only if the resource is known to be not under copyright. At least one of dcterms:rights and dc:rights MUST be supplied but, when feasible, supplying both might make the metadata more widely useful. They MUST specify the same rights. This expresses rights over the media resource, not over the metadata text. In case of ambiguity, dcterms:rights prevails. See also the entry for dcterms:rights in the Audiovisual Core Term List document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.","`Copyright XY 2008, all rights reserved`; `© 2008 XY Museum`; `Public Domain`; `Copyright unknown`",dc,http://purl.org/dc/elements/1.1/rights,,,
media,Media,Owner,A list of legal owners of the resource.,string,default,"A list of the names of the owners of the copyright. 'Unknown' is an acceptable value, but 'Public Domain' is not. In that case, omit or leave empty xmpRights:Owner, and put 'Public Domain' in the Copyright Statement (dc:rights). Note: Audiovisual Core guidelines on value format are less restrictive than is specified in the IPTC guidelines. Some providers use dc:publisher for this purpose, but it seems doubtful that the publisher is by necessity the copyright owner. 'Public Domain' is not an appropriate value because it denotes something that is not under copyright. Except for 'Public Domain' resources, it is strongly urged that this field be supplied.",,xmpRights,http://ns.adobe.com/xap/1.0/rights/Owner,,,
media,Media,source,A related resource from which the described resource is derived.,string,default,"A string providing an identifiable source from which the described resources was derived. If the resource was digitized from a non-digital resource, or was also previously published in a digital or printed publication, this describes the original. Do not put generally ""related"" publications in here. This field normally contains a free-form text description. If a URI is available it should be provided in dcterms:source. Can be repeatable if a montage of images. Information about further provenance beyond the ultimate source should be put in the derivedFrom attribute. See also the entry for dcterms:source in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.",,dc,http://purl.org/dc/elements/1.1/source,,,
media,Media,creator,An entity primarily responsible for making the resource.,string,default,"The person or organization responsible for creating the media resource. The value MAY be simple text including contact information. Note that the Creator need not be the Copyright Owner. See also the entry for dcterms:creator in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.",,dc,http://purl.org/dc/elements/1.1/creator,,,
media,Media,creatorID,An identifier for the entity primarily responsible for making the resource.,string,default,"An identifier for the person or organization responsible for creating the media resource. Note that the Creator need not be the Copyright Owner. See the entry for dcterms:creator in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces.",,dcterms,http://purl.org/dc/terms/creator,,,
media,Media,CreateDate,"The date and time the resource was created. For a digital file, this need not match a file-system creation time. For a freshly created resource, it should be close to that time, modulo the time taken to write the file. Later file transfer, copying, and so on, can make the file-system time arbitrarily different.",string,default,"The date of the creation of the original resource from which the digital media was derived or created. The date and time MUST comply with the World Wide Web Consortium (W3C) datetime practice, https://www.w3.org/TR/NOTE-datetime, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004, https://www.iso.org/standard/40874.html. AC datetime values MAY also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). When applied to a media resource with temporal extent such as audio or video, this property indicates the startTime of the recording. What constitutes ""original"" is determined by the metadata author. Example: Digitization of a photographic slide of a map would normally give the date at which the map was created; however a photographic work of art including the same map as its content may give the date of the original photographic exposure. Imprecise or unknown dates can be represented as ISO dates or ranges. Compare also Date and Time Digitized in the Resource Creation Vocabulary. See also the wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples.",,xmp,http://ns.adobe.com/xap/1.0/CreateDate,,,
media,Media,modified,Date on which the resource was changed.,string,default,"Date that the media resource was altered. The date and time MUST comply with the World Wide Web Consortium (W3C) datetime practice, https://www.w3.org/TR/NOTE-datetime, which requires that date and time representation correspond to ISO 8601:1998, https://www.iso.org/standard/40874.html, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values MAY also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). dcterms:modified permits all modification dates to be recorded, or if only one is recorded, it is assumed to be the latest. See also the wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples.",,dcterms,http://purl.org/dc/terms/modified,,,
media,Media,mediaLanguage,A language of the content of Media.,string,default,Recommended best prectice is to use an ISO639-2 three-letter language code.,`eng` (for Modern English); `spa` (for Castilian Standard Spanish),gum,,,,
media,Media,mediaDescription,An account of the Media subject matter.,string,default,"Description of content of the resource, containing the Who, What, When, Where and Why as free-form text.",`herbarium sheet scan`,dcterms,http://purl.org/dc/terms/description,,,
occurrence-agent-role,OccurrenceAgentRole,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
occurrence-agent-role,OccurrenceAgentRole,occurrenceID,An identifier for a dwc:Occurrence.,string,default,"Recommended best practice is to use a persistent, globally unique identifier. In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make a dwc:occurrenceID globally unique.",`http://arctos.database.museum/guid/MSB:Mamm:233627`,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,True,False,
occurrence-agent-role,OccurrenceAgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource an AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`; `director`; `husband`,gum,,,,
occurrence-agent-role,OccurrenceAgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
occurrence-agent-role,OccurrenceAgentRole,agentRoleVocabulary,The reference to the controlled vocabulary where the definition of the value for agentRole is given.,string,default,,,gum,,,,
occurrence-agent-role,OccurrenceAgentRole,agentRoleOrder,"The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRole, agentRoleIRI, agentRoleVocabulary and related target.",integer,default,"One could use agentRoleOrder to create an ordered list of collectors (agentRole = 'collector') for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
occurrence-agent-role,OccurrenceAgentRole,agentRoleDate,The interval during which an AgentRole was in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionID,An identifier for an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/measurementID,True,True,
occurrence-assertion,OccurrenceAssertion,occurrenceID,An identifier for a dwc:Occurrence.,string,default,"Recommended best practice is to use a persistent, globally unique identifier. In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make a dwc:occurrenceID globally unique.",`http://arctos.database.museum/guid/MSB:Mamm:233627`,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,True,False,
occurrence-assertion,OccurrenceAssertion,assertionType,The category that best matches the nature of an Assertion.,string,default,,`mass`; `mean mass`; `weight standard deviation`; `minimum organism quantity`; `water temperature`; `salinity`,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionTypeIRI,The IRI of the controlled vocabulary value for the type of Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionType is given.,string,default,,,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionMadeDate,The date on which an Assertion was created.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionEffectiveDate,The date on which the state or measurement of an Assertion was deemed to first be in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,
occurrence-assertion,OccurrenceAssertion,assertionValue,"An asserted value, if it is not numeric.",string,default,,`UV-light`,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionValueIRI,The IRI of the controlled vocabulary value for the value of an Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,`https://vocab.nerc.ac.uk/collection/S10/current/S103/`,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionValueVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionValue is given.,string,default,,`https://vocab.nerc.ac.uk/collection/S10/current/`,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionValueNumeric,"An asserted value, if it is numeric.",number,default,,`0`; `1`; `14.5`,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionUnit,The units associated with the value in assertionValueNumeric.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI. For units that are composed of multiple parts, use the patterns as given in ""A Primer for Communicating Mathematics via Plain Text"" (https://cse.sc.edu/~fenner/latex-ASCII.pdf) by Stephen Fenner (e.g., `g/cm^3` for grams per cubic centimeter). For other units, provide the value as a recognizable standard (e.g., '%') or written out in full and in the plural (e.g., `individuals`). It is fine to provide non-SI units in the original language of the dataset.",`m`; `g`; `l`; `s`; `°C`; `mm`; `km²`; `%`; `hh:mm:ss`,gum,http://rs.tdwg.org/dwc/terms/measurementUnit,,,
occurrence-assertion,OccurrenceAssertion,assertionUnitIRI,The IRI for the units of an assertionValueNumeric.,string,default,,,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionUnitVocabulary,The reference to the controlled vocabulary in which the definition of the value in assertionUnit is given.,string,default,,,gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionBy,"A list (concatenated and separated) of names of people, groups, or organizations who made an Assertion.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,,,
occurrence-assertion,OccurrenceAssertion,assertionByID,An identifier for an Agent who made an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionProtocol,"The names of, references to, or descriptions of the methods or protocols used in making an Assertion.",string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementMethod,,,
occurrence-assertion,OccurrenceAssertion,assertionProtocolID,An identifier for a Protocol used to make an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/iri/measurementMethod,,,
occurrence-assertion,OccurrenceAssertion,assertionCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with an Assertion.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,,,
occurrence-assertion,OccurrenceAssertion,assertionRemarks,Comments or notes about an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementRemarks,,,
occurrence-citation,OccurrenceCitation,citationID,An identifier for a Citation.,string,default,,,gum,,True,True,
occurrence-citation,OccurrenceCitation,occurrenceID,An identifier for a dwc:Occurrence.,string,default,"Recommended best practice is to use a persistent, globally unique identifier. In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make a dwc:occurrenceID globally unique.",`http://arctos.database.museum/guid/MSB:Mamm:233627`,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,True,False,
occurrence-citation,OccurrenceCitation,citationType,The category that best matches the nature of a Citation.,string,default,,,gum,,,,
occurrence-citation,OccurrenceCitation,citationTypeIRI,The IRI of the controlled vocabulary value for the type of Citation.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
occurrence-citation,OccurrenceCitation,citationTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for citationType is given.,string,default,,,gum,,,,
occurrence-citation,OccurrenceCitation,bibliographicCitation,A bibliographic reference for the resource.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",dcterms,http://purl.org/dc/terms/bibliographicCitation,,,
occurrence-citation,OccurrenceCitation,pageNumber,The number of the page on which the citation occurs in the cited reference.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",gum,,,,
occurrence-citation,OccurrenceCitation,referenceID,An identifier for the reference in which a Citation occurs.,string,default,,,gum,,,,
occurrence-citation,OccurrenceCitation,referenceType,The category that best matches the nature of a reference.,string,default,,`book`; `journal article`; `field notes`,gum,,,,
occurrence-citation,OccurrenceCitation,referenceTypeIRI,The IRI of the controlled vocabulary value for the type of reference.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
occurrence-citation,OccurrenceCitation,referenceTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for referenceType is given.,string,default,,,gum,,,,
occurrence-citation,OccurrenceCitation,referenceYear,The year the reference in a Citation was published.,integer,default,,`2024`,gum,,,,
occurrence-citation,OccurrenceCitation,isPeerReviewed,An indication of whether the reference for a Citation was peer reviewed.,boolean,default,,`true`; `false`,gum,,,,
occurrence-citation,OccurrenceCitation,citationRemarks,Comments or notes about a Citation.,string,default,,`true`; `false`,gum,,,,
occurrence-identifier,OccurrenceIdentifier,identifier,An unambiguous reference to a resource within a given context.,string,default,Recommended best practice is to identify a resource by means of a string conforming to a formal identification system.,,dcterms,http://purl.org/dc/terms/identifier,True,False,
occurrence-identifier,OccurrenceIdentifier,occurrenceID,An identifier for a dwc:Occurrence.,string,default,"Recommended best practice is to use a persistent, globally unique identifier. In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make a dwc:occurrenceID globally unique.",`http://arctos.database.museum/guid/MSB:Mamm:233627`,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,True,False,
occurrence-identifier,OccurrenceIdentifier,identifierType,The category or system that best matches the nature of an Identifier.,string,default,,,gum,,,,
occurrence-identifier,OccurrenceIdentifier,identifierTypeIRI,The IRI of the controlled vocabulary value for the type of Identifier.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
occurrence-identifier,OccurrenceIdentifier,identifierTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for identifierType is given.,string,default,,,gum,,,,
occurrence-identifier,OccurrenceIdentifier,identifierLanguage,A language in which an Identifier is presented.,string,default,Recommended best prectice is to use an ISO639-2 three-letter language code.,`eng` (for Modern English); `spa` (for Castilian Standard Spanish),gum,,,,
occurrence-media,OccurrenceMedia,mediaID,An identifier for a Media instance.,string,default,,,gum,,True,False,
occurrence-media,OccurrenceMedia,occurrenceID,An identifier for a dwc:Occurrence.,string,default,"Recommended best practice is to use a persistent, globally unique identifier. In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make a dwc:occurrenceID globally unique.",`http://arctos.database.museum/guid/MSB:Mamm:233627`,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,True,False,
occurrence-media,OccurrenceMedia,mediaSubjectCategory,A term to describe the content of the image by a value from a controlled vocabulary.,string,default,"Controlled vocabulary of subjects to support broad classification of media items. Terms from various controlled vocabularies may be used. AC-recommended vocabularies are preferred and MAY be unqualified literals (not a full URI). For terms from other vocabularies either a precise URI SHOULD be used, or, as long as all unqualified terms in all vocabularies are unique, metadata SHOULD provide the source vocabularies using the Subject Category Vocabulary term. The value SHOULD be a string, whose text can also be in the form of a URL. These guidelines on value format are less restrictive than is specified by the IPTC guidelines.",`herbarium sheet scan`,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
occurrence-media,OccurrenceMedia,mediaSubjectCategoryIRI,The IRI of the controlled vocabulary value for the subject category of the Media instance.,string,default,,,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
occurrence-media,OccurrenceMedia,mediaSubjectCategoryVocabulary,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.,string,default,"The AC recommended vocabularies do not need to be cited here. There is no required linkage between individual Subject Category terms and the vocabulary; the mechanism is intended to support discovery of the normative URI for a term, but not guarantee it.",`herbarium sheet scan`,ac,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,,,
occurrence-protocol,OccurrenceProtocol,protocolID,An identifier for a Protocol.,string,default,,,gum,,True,False,
occurrence-protocol,OccurrenceProtocol,occurrenceID,An identifier for a dwc:Occurrence.,string,default,"Recommended best practice is to use a persistent, globally unique identifier. In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make a dwc:occurrenceID globally unique.",`http://arctos.database.museum/guid/MSB:Mamm:233627`,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,True,False,
occurrence,Occurrence,occurrenceID,An identifier for a dwc:Occurrence.,string,default,"Recommended best practice is to use a persistent, globally unique identifier. In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make a dwc:occurrenceID globally unique.",`http://arctos.database.museum/guid/MSB:Mamm:233627`,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,True,True,
occurrence,Occurrence,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,http://rs.tdwg.org/dwc/terms/eventID,True,False,
occurrence,Occurrence,surveyTargetID,An identifier for a SurveyTarget.,string,default,,,gum,,,,
occurrence,Occurrence,recordedBy,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording a dwc:Occurrence.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/recordedBy,,,
occurrence,Occurrence,recordedByID,An identifier for the Agent responsible for recording a dwc:Occurrence.,string,default,Recommended best practice is to use a globally unique identifier.,"`https://orcid.org/0000-0002-1825-0097`, `https://ror.org/00mh9zx15`",dwc,http://rs.tdwg.org/dwc/terms/recordedByID,,,
